epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,1.03546652,0.62716667,0.98335139,0.71933333,0.00100000
2,0.93702753,0.75016667,0.89696281,0.75866667,0.00100000
3,0.85910239,0.77600000,0.82652963,0.77600000,0.00100000
4,0.79561407,0.78383333,0.76903071,0.78733333,0.00100000
5,0.74319886,0.79300000,0.72125182,0.79200000,0.00100000
6,0.69983362,0.79791667,0.68148621,0.80066667,0.00100000
7,0.66321814,0.80900000,0.64778633,0.80600000,0.00100000
8,0.63224472,0.81300000,0.61911383,0.81266667,0.00100000
9,0.60540203,0.81733333,0.59430582,0.81400000,0.00100000
10,0.58197983,0.82100000,0.57275103,0.82466667,0.00100000
11,0.56151307,0.82625000,0.55362470,0.82466667,0.00100000
12,0.54324523,0.82750000,0.53671495,0.83000000,0.00100000
13,0.52701073,0.83225000,0.52150139,0.83200000,0.00100000
14,0.51211359,0.83558333,0.50774614,0.83333333,0.00100000
15,0.49868694,0.83891667,0.49536884,0.83533333,0.00100000
16,0.48640778,0.84175000,0.48395521,0.83733333,0.00100000
17,0.47516096,0.84258333,0.47352337,0.84000000,0.00100000
18,0.46468745,0.85008333,0.46388548,0.84066667,0.00100000
19,0.45496823,0.85008333,0.45482044,0.84200000,0.00100000
20,0.44591009,0.85150000,0.44651579,0.84400000,0.00100000
21,0.43750368,0.85400000,0.43878476,0.84466667,0.00100000
22,0.42943289,0.85533333,0.43162730,0.84733333,0.00100000
23,0.42196183,0.85891667,0.42482144,0.85066667,0.00100000
24,0.41485752,0.86166667,0.41832295,0.85066667,0.00100000
25,0.40819379,0.86233333,0.41239138,0.85400000,0.00100000
26,0.40186974,0.86616667,0.40651420,0.85400000,0.00100000
27,0.39587635,0.86766667,0.40127941,0.85933333,0.00100000
28,0.39008671,0.87066667,0.39604317,0.85733333,0.00100000
29,0.38461982,0.87108333,0.39121629,0.85466667,0.00100000
30,0.37941897,0.87241667,0.38645927,0.85800000,0.00100000
31,0.37440702,0.87391667,0.38219796,0.85866667,0.00100000
32,0.36964882,0.87566667,0.37765857,0.85866667,0.00100000
33,0.36503489,0.87766667,0.37378713,0.85866667,0.00100000
34,0.36067303,0.87700000,0.36971120,0.86133333,0.00100000
35,0.35648150,0.87983333,0.36589981,0.86400000,0.00100000
36,0.35238510,0.88258333,0.36246038,0.86600000,0.00100000
37,0.34845261,0.88333333,0.35896383,0.86600000,0.00100000
38,0.34469779,0.88391667,0.35575885,0.86866667,0.00100000
39,0.34109984,0.88500000,0.35246577,0.86866667,0.00100000
40,0.33755569,0.88541667,0.34963556,0.87066667,0.00100000
41,0.33416520,0.88575000,0.34650246,0.87200000,0.00100000
42,0.33092894,0.88666667,0.34370649,0.87266667,0.00100000
43,0.32773451,0.88716667,0.34100882,0.87266667,0.00100000
44,0.32464148,0.88750000,0.33821049,0.87333333,0.00100000
45,0.32171150,0.88725000,0.33588124,0.87466667,0.00100000
46,0.31885171,0.88866667,0.33320613,0.87533333,0.00100000
47,0.31598505,0.88933333,0.33069389,0.87600000,0.00100000
48,0.31330441,0.89283333,0.32835841,0.87733333,0.00100000
49,0.31074437,0.89341667,0.32625145,0.88066667,0.00100000
50,0.30815038,0.89441667,0.32394086,0.88066667,0.00100000
51,0.30565873,0.89675000,0.32170422,0.88200000,0.00100000
52,0.30326531,0.89683333,0.31965651,0.88200000,0.00100000
53,0.30093836,0.89725000,0.31767000,0.88266667,0.00100000
54,0.29861556,0.89800000,0.31558510,0.88333333,0.00100000
55,0.29645828,0.89900000,0.31371622,0.88400000,0.00100000
56,0.29425009,0.90000000,0.31199992,0.88533333,0.00100000
57,0.29217659,0.90050000,0.31010555,0.88466667,0.00100000
58,0.29012735,0.90100000,0.30849813,0.88466667,0.00100000
59,0.28815355,0.90216667,0.30695968,0.88866667,0.00100000
60,0.28622631,0.90300000,0.30528200,0.88866667,0.00100000
